Package            Version   Latest   Type
------------------ --------- -------- -----
beautifulsoup4     4.13.3    4.13.5   wheel
cachetools         5.5.2     6.1.0    wheel
certifi            2024.8.30 2025.8.3 wheel
charset-normalizer 3.4.0     3.4.3    wheel
colorbrewer        0.2.0     0.3      wheel
contourpy          1.3.2     1.3.3    wheel
decorator          5.1.1     5.2.1    wheel
fasteners          0.19      0.20     wheel
fonttools          4.58.2    4.59.1   wheel
igraph             0.11.8    0.11.9   wheel
kiwisolver         1.4.8     1.4.9    wheel
lxml               5.3.0     6.0.1    wheel
markdownify        1.1.0     1.2.0    wheel
matplotlib         3.10.3    3.10.5   wheel
networkx           3.4.2     3.5      wheel
numpy              2.2.0     2.3.2    wheel
pandas             2.2.3     2.3.2    wheel
pillow             11.2.1    11.3.0   wheel
py4cytoscape       1.11.0    1.12.0   wheel
pyaml              24.9.0    25.7.0   wheel
pyparsing          3.2.0     3.2.3    wheel
pytz               2024.2    2025.2   wheel
rdflib             7.1.1     7.1.4    wheel
requests           2.32.3    2.32.5   wheel
scipy              1.15.3    1.16.1   wheel
setuptools         75.6.0    80.9.0   wheel
soupsieve          2.6       2.7      wheel
typing_extensions  4.12.2    4.15.0   wheel
tzdata             2024.2    2025.2   wheel
urllib3            2.0.7     2.5.0    wheel
