CODE COULEUR : ,Surligné en vert : questions à Nathalie,"Surligné en bleu: modifications apportées, à valider ensemble",Surligné en jaune : pour Léa,Surligné en rose : pour Louise,Souligné : apports et corrections validés (Ctrl + u),,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
uuid,mots-clefs,,,,,,,
c62f4d4c-a885-49b4-a18b-92fa4e1b01ba,Arts,,,,,,,
cb67f739-20c6-44e7-87a4-38d564b6a29b,Arts,Architecture,,,,,,
d523957e-51b6-4864-ae07-6c892c01829e,Arts,Architecture,architecture civile,,,,,
5258550e-5502-479e-9cc6-cbe56b6f579b,Arts,Architecture,architecture civile,palais,,,,
35c02810-a40a-4fea-8022-6777b8f763f1,Arts,Architecture,architecture civile,palais,décor de palais [dupliqué dans Arts du décor],,,
fb696bcc-5f01-4dc3-b6b4-b6fb4851c281,Arts,Architecture,architecture civile,palais,décor d'appartement [dupliqué dans Arts du décor],,,
bf456bf8-5f35-4dc3-b1ef-c2a0081e282c,Arts,Architecture,architecture civile,palais,décor de salle de bal [dupliqué dans Arts du décor],,,
beb2f518-b8f8-4bb4-bc1a-0ceed5aa8f66,Arts,Architecture,architecture civile,théâtre [édifice],,,,
db5a68f4-86e5-4adc-b558-90c8b57d7193,Arts,Architecture,architecture civile,théâtre [édifice],architecture de théâtre,,,
22cab989-2053-42c2-a984-8dc43d317120,Arts,Architecture,architecture civile,théâtre [édifice],décoration de théâtre [dupliqué dans Arts du décor],,,
8c23544c-624e-4247-aeda-2afcc805bcb9,Arts,Architecture,architecture civile,théâtre d'opéra,,,,
4ec99230-bf39-4337-8ee3-083763d26410,Arts,Architecture,architecture civile,théâtre éphémère,,,,
a6952b36-8489-4484-8987-8c2e702b65b8,Arts,Architecture,architecture religieuse,,,,,
2d133cb3-6ace-464c-b236-9a42dd6e27f9,Arts,Architecture,architecture religieuse,église,,,,
2089027a-ba7b-428c-8703-a8d574434cd0,Arts,Architecture,architecture religieuse,église,décor d'église [dupliqué dans Arts du décor],,,
0bc07ec6-99d3-43b5-8bb7-efc2bb5dcf99,Arts,Architecture,architecture navale,,,,,
131c4a0f-8080-458c-b96e-ec06fc231472,Arts,Architecture,architecture navale,construction navale,,,,
c1978a26-2a8e-4570-a28b-3b2633d0538a,Arts,Architecture,piédestal,,,,,
451a8be6-6df2-4a43-8c46-d480e0382170,Arts,Danse,,,,,,
26e6843f-2164-4bc7-99f3-22198fb62424,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],,,,,
a78692ff-a068-452f-9aa9-ed6a88b22dd5,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],allemande,,,,
a8011058-a776-488e-8ee9-59d779bbc690,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],bacchanale,,,,
35474303-a5f4-455e-abf3-dc55fae83df8,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],bourrée,,,,
