

personnes		orleans_philippe_i_(1640-1701)_duc_d
personnes		ff0d9dae-a7ea-4c3a-be17-88800555d979
personnes		bourgogne_louis_de_france_(1682-1712)_duc_de
personnes		berry_charles_de_bourbon_(1686-1714)_duc_de
personnes		orleans_philippe_ii_(1674-1723)_duc_d
personnes		louis_dauphin_de_france_(1661-1711)
personnes		grancey_hardouin_rouxel_(-1706)_abbe_de
personnes		conti_françois-louis_de_bourbon_(1664-1709)_prince_de
personnes		maine_louis-auguste_de_bourbon_(1670-1736)_duc_du
personnes		toulouse_louis-alexandre_de_bourbon_(1678-1737)_comte_de
personnes		vendome_louis-joseph_de_bourbon_(1654-1712)_duc_de
congrégations	feuillants
lieux	185
lieux	198
mots-clés	De profundis clamavi 
mots-clés	psaume en musique
mots-clés	plain-chant
mots-clés	prière pour les morts
mots-clés	décès
mots-clés	messe des morts
mots-clés	messe des morts en musique
mots-clés	vêpres
mots-clés	musique funèbre
mots-clés	Timbale
mots-clés	trompette 

