id;cat;pages;Incipit principal ou premier;incipit français;article et notes sur les sources;auteur de la musique IDENTIFIANT Nathalie : remplacer directement par l'id de Directus OK;auteur de la musique LABEL;lieux concernés Nathalie : vérifier la correspondance avec le thésaurus;TITRES propres. Anne: OK orthographe normalisée;´MOTS-CLEFS. Anne: OK;genre poétique;genre mus. Anne: OK;auteur texte IDENTIFIANT Nathalie : normalisation avec Directus OK;auteur texte LABEL ;Notes éditoriales. (à ne pas exporter dans la TEI). Revues  ANNE  : OK NATH: EST-CE QUE TOUTES LES NOTES FIGURENT ICI OU CERTAINES DIRECTEMENT DANS LA TEI ?;Articles liés ajouter les commentaires qui manquent (là où figurent des id);notes sur la musique (tonalité, chiffre de mesure, nbre de mesures, forme). Anne: OK;Tonalité. Anne: OK;forme musicale. Anne: OK;Formes poétiques (fixes) ou description formelle;code incipit musical. Anne: OK;Interprète [de la pièce musicale] Nath : vérifier concordance avec Opentheso;effectif musical;Notes effectifs musicaux;personnes mentionnées (Nath : vérifier concordance et indexation avec Personnes;Numéros de catalogue d'auteur ou Concordances poétiques. Anne: OK;Numéros de catalogue d'auteur ou concordances musicales. Anne: OK;autres sources Vérification par Anne et Nathalie;Institutions mentionnées ;Corporations mentionnées ;Œuvres citées
1711-01_282;;282-283;La bonne chose que le vin;La bonne chose que le vin;"On prie Mr du Bousset d’y faire un air. 
La bonne chose que le Vin. 
J’en connois un que pour Jupin
Fit expres le Dieu de la treille. 
Il chatouille, il grate, il réveille. 
[ornement]

Mais un retour maudit fait secoüer l’oreille, 
Quand le Cabaretier mutin
Nous force à le payer deux écus la bouteille. ";[pas de musique];[pas de musique];;CHANSON; paroles à mettre en air;;[pas de musique];4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;;[pas de musique];[pas de musique];[pas de musique];;[pas de musique];;[pas de musique];[pas de musique];1fca10b1-5fc7-4a10-81d0-65f61a1a035b;;;;;;
1680-08_103;1680.08.03;103-104;SI VOUS VOULEZ ME CROIRE;Si vous voulez me croire;air gravé inséré entre les pages 104 et 105 « Jamais de plus magnifiques Paroles n´ont esté employées pour un Air à boire, que celles dont l´illustre Autheur qui me donne ses Ouvrages depuis un an, a fait le sujet de celuy qui suit. AIR A BOIRE. Si vous voulez me croire, Braves Guerriers, Apprenez a mesler les Pampres aux Lauriers. Alexandre dont la Mémoire Vous rend jaloux & vous surprend N'auroit pas eu le nom de Grand, S'il n'eust jamais appris à boire. »;"f8885e89-bd5d-49b1-88d8-eb294efcd56e [attr. probable] ; 4aded38f-fdf8-46bd-8520-c0c9894424a5";"Bertrand de Bacilly (1621-1690) [attr. probable] ; non identifié";;AIR À BOIRE;;;air à boire;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;L'« illustre Autheur qui me donne ses Ouvrages depuis un an » est probablement Bacilly, auteur de 11 des 21 airs publiés entre octobre 1679 (première publication d'un air de Bacilly dans le Mercure) et l'air précédant celui-ci. Cinq de ces airs sont attribués à un autre compositeur et cinq sont anonyme.;;Fa Majeur, ¢, 26 mesures, forme binaire;Fa Majeur;binaire;;51 231 534 251;;ut1,fa4;;18d2cbdf-9c30-47a1-a081-4e92f54a61ab;;;;;;
1678-12_103;1678.12.05;103-106;EN VAIN VOUS M'ORDONNEZ DE FEINDRE;En vain vous m'ordonnez de feindre;air imprimé inséré entre les pages 106 et 107 « Je vous ay toûjours veu rechercher les Airs de Mr de Bacilly avec tant de soin, que j´ay lieu de croire que vous ne serez pas fâchée d´en voir un de la composition de Mr Daniel, qu´il a choisy comme un digne Sujet pour luy mettre entre les mains tout ce qu´il avoit de Gens de la premiere qualité à instruire dans la belle maniere de chanter. Vous sçavez, Madame, que peu de Personnes en ont une connoissance aussi parfaite que Mr de Bacilly, & qu´il en a mesme fait un Traité fort utile à ceux qui veulent parler en public, à cause des Regles de prononciation, & de quantite de choses tres-curieusement remarquées. Le choix qu´il a fait de Mr Daniel pour luy donner toutes ses pratiques, en luy faisant épouser une de ses Nièces, vous fait connoistre qu´il estoit fortement persuadé de son mérite. Aussi celuy dont je vous parle est-il dans une grande réputation soit pour le fond de la Musique, soit pour la composition des Parties, pour le génie de faire de tres-beaux Airs, & sur tout pour la noble & agreable exécution du Chant. Vous en jugerez par ces Paroles qu´il a notées. AIR NOUVEAU. En vain vous m'ordonnez de feindre De l'indiférence pour vous, Pour tromper les Ialoux, Que nous avons à craindre. Lorsque l'on joüit chaque jour Des charmes de vostre présence, Il est malaisé que l'amour Paroisse de l'indiférence. »;8ed87974-4398-4790-af97-d3505f4d53f7;Daniel, M. (fl. 1678-1680);;AIR NOUVEAU;" ; enseignement de la musique ; art du chant ; composition ; rapport maître/élève";madrigal ;air;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;;Ut Majeur, ¢, 24 mesures, forme continue;"Ut Majeur ;";continue;;1 7123 671 1;;ut1/bc;;"d43150b4-7c7a-4444-868e-d8aa7fbac7e6 ; f8885e89-bd5d-49b1-88d8-eb294efcd56e";;;;;;BACILLY, B. de, Remarques curieuses sur l'art de bien chanter
1718-04_186;1718.04.01;186-187;T'EN COÛTE LE PLUS TENDRE;T'en coûte le plus tendre;"air gravé inséré entre les pages 186 et 187. « CHANSON. T'en costé, lé plus téndré Dés Pastours, Per navé voulgu dous, Lizétte ; D'un airé doucéroux mé-disiés, Bergerette, Qu'aviei tord d'estre jalous, Et pei déssus l'Herbette, Randiés mon Rival heurous. TRADUCTION LITERALE DE LA CHANSON. Il t'en coute le plus tendre des Bergers, pour en avoir voulu deux, Lizette. D'un air douceureux tu me disois, Bergere, que j'avois tort d'estre jaloux ; & puis, dessus l'Herbette, tu rendois mon Rival heureux. »";4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;CHANSON;"Traduction ;";;"air ; chanson languedocienne";4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;À la fin de la partition : « Gravé par H. de Baussen, sur le Quay de la Megisserie, Aux Trois Palmes ».;;Fa Majeur, 2, 37 mesures, forme continue.;Fa Majeur;continue;;5 123231 565454 31;;ut1;;798de988-9f50-495b-bd94-3b5a59a63c00;;;;;;
1682-09b_068;1682.09.25;81-82;FAVORIS D'APOLLON MESSIEURS LES BEAUX ESPRITS;Favoris d'Apollon messieurs les beaux esprits;air gravé inséré entre les pages 82-83 « Comme tout ce qui se fait présentement est à la loüange de Monseigneur le Duc de Bourgogne, les Musiciens n´ont pas manqué de mettre en air des Paroles sur cet auguste sujet. En voicy que je vous envoye notées. Elles sont de Mr Daubaine. AIR NOUVEAU. Favoris d'Apollon, Messieurs les beaux Esprits, Par vos sçavans Ecrits Celébrez l'heureuse Naissance Du Prince, dont les Cieux font présent à la France. Bacchus est ma Divinité. Je remplis une place A la Table mieux qu'au Parnasse, Mon partage sera de boire à sa santé. »;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;AIR NOUVEAU;célébration d'une naissance princière ;poésie de circonstance;air;4e1fc1b4-ffdb-4215-9b08-e2f185beef34;DAUBAINE, Mr;;;Fa Majeur, 3 puis C ouis 3, 28 mesures, forme binaire;Fa Majeur;binaire;;54 345 123 621 7;;ut1,fa4;;cfdfacf6-e6ac-4ecd-a153-2ccf3b650c87;;;;;;
1682-10b_059;1682.10.26;59-60;You ai mon fifré prends ton tambourin;You ai mon fifré prends ton tambourin;"air gravé inséré entre les pages 60 et 61 « Je vous manday la derniere fois en vous parlant de Marseille, que pour une plus grande marque de joye, la Musique chanta une Chanson Provençale dans l´Eglise Major, après que le Te Deum eut esté chanté [cf. 1682.09.41]. Je viens de la recevoir notée, & je vous l´envoye. Les Trompetes y tinrent leur partie. CHANSON PROVENCALE. You ay mon Fifré, pren ton Tambourin, Anen jougua l?Aubado A l'Acouchado Qu'a fach lou Dauphin ; Quand l'y seren, veissy coumo fau fairé, Parapatapan, parapatapan, Parapatapan, tiretto. A quo poû pas manqua de réjoüy la Mayré, Parapatan, tiretto. A quo poû pas manqua de réjoüy l'Enfan. »";4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;MARSEILLE, Cathédrale La Major;CHANSON PROVENÇALE;"Te Deum ;  trompette ; poésie de circonstance ; célébration d'une naissance princière";;air provençal;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;;ré mineur, 3 puis C, 22 mesures, forme continue.;"ré mineur ;";continue;;112 756 67111 1;;sol2,fa4;;cfdfacf6-e6ac-4ecd-a153-2ccf3b650c87;;;;;;
1696-11_327;1696.11.01;327-328;VENEZ FAVORABLE PRINCESSE;Venez favorable princesse;air gravé inséré entre les pages 328 et 329 « Les paroles suivantes sont de Mr Mallemans de Colonge, & l'Air est de Mr d'Ambruis. AIR NOUVEAU. Venez favorable Princesse Que la Paix conduit en ces lieux. Vostre Hymen approuvé des Cieux, Remplit la France d'allegresse. Son réjoüissant appareil Nous fera naistre aprés la guerre, Des rayons de nostre Soleil Quelque Astre propice à la terre. »;565ce1d7-f2a4-4a1d-abef-19c4e6903453;Ambruis, Honoré d' (1660-1702);;AIR NOUVEAU;;"poésie encomastique ; poésie de circonstance";air;2ff71077-972e-4968-bf61-4a42493e06ff;MALLEMANS DE COLONGE, Mr;Le poème fait allusion à l'arrivée de Marie-Adélaïde de Savoie à la cour de France, en novembre 1696.;;Ut Majeur, C et 3 en alternance, 18 mesures, forme binaire.;"Ut Majeur ;";binaire;;151 712 233 155;;sol2,fa4;;2c05519f-e349-4cc4-8bf1-88de2093e73a;;;;;;
1708-03_225;1708.03.01;225-226;JE SUIS DIEU DES AMOURS DES GRÂCES ET DES RIS;Je suis dieu des amours des grâces et des ris;"air gravé inséré entre les pages 226 et 227 « Je vous envoye un Air nouveau, dont vous reconnoîtrez sans doute les paroles, puisqu'elles sont tirées de ma Lettre du mois de Janvier dernier, dans lequel je vous ay parlé d'un amour galant, qui s'est fait admirer dans l'un des Bals de la Cour du Carnaval dernier. AIR NOUVEAU. Je suis Dieu des Amours, des graces & des ris ; Et sur tant de beautez qu'on voit icy paroitre, C'est moy qui vous donne le prix. Le Dieu d'Amour doit s'y connoitre. J'ay quitté mon bandeau pour pouvoir desormais Chaque instant admirer tant de graces nouvelles ; Et pour ne vous quitter jamais, J'ay moy-même coupé mes ailes. »";4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;AIR NOUVEAU;carnaval;;air;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;Les vers s'adressent à la duchesse de Bourgogne et figurent p. 411-412. Le texte de l'air a été initialement publié dans une relation de plusieurs bals donnés à Marly (janvier 1708, p. 408-412).;X;sol mineur, 3, 28 mesures, forme binaire.;"sol mineur ;";binaire;;15 234 251 671 7;;ut1/bc;;2c05519f-e349-4cc4-8bf1-88de2093e73a;;;;;;
1708-04_078;1708.04.01;78-79;LE BERGER PÂRIS COURONNA JADIS UNE IMMORTELLE;Le berger Pâris couronna jadis une immortelle;air gravé inséré entre les pages 78 et 79 « Ceux qui demandent de la varieté dans mes Lettres, en trouveront beaucoup en lisant l'Article suivant, qui est bien different de celuy qui le precede. Vous remarquerez, sans doute, d'abord que les Vers qui ont esté mis en Air sont tirez d'une Mascarade du Carnaval dernier, & vous vous souviendrez qu'ils ont esté fait pour une grande Princesse. AIR NOUVEAU. Le Berger Paris couronna jadis une Immortelle, Et la Pomme qu'il luy donna estoit pour la plus belle. Un Dieu, Princesse, dans ce jour Vous rend le même hommage, Recevez-icy de l'Amour Cette Pomme pour gage. »;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;AIR NOUVEAU;"carnaval ; ";;air;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;Les vers s'adressent à la duchesse de Bourgogne. Le Mercure galant avait publié en janvier précédent (cf. 1708-01_408) le texte du Divertissement de Marly dont sont tirées les paroles de cet air, composé sur la première strophe du poème. ;X;sol mineur, ¢, 16 mesures, forme binaire.;"sol mineur ;";binaire;;15 42321 712342 5;;ut1/bc;;2c05519f-e349-4cc4-8bf1-88de2093e73a;;;;;;
1697-01_281;1697.01.01;281-282;AVOIR TOUS LES APPAS DE L'AIMABLE JEUNESSE;Avoir tous les appas de l'aimable jeunesse;air gravé inséré entre les pages 280 et 281 « Les Vers qui suivent sont de Mademoiselle de Scudery, & ils ont esté mis en chant par Mr le Camus. AIR NOUVEAU. Avoir tous les appas de l'aimable jeunesse, Joindre avec la beauté l'esprit & la sagesse, Suivi d'un air charmant qu'on ne peut exprimer, C'est ce qu'on trouve en la Princesse Qu'on ne se lasse point de voir & d'admirer Et qui de tous les coeurs sçait se faire adorer. »;32851683-2f4e-48c6-a11c-a939fdc2f18c;LE CAMUS, Charles [?-?];;AIR NOUVEAU;;poésie encomastique;air;009f5eb8-1bbd-4cc1-ae4d-abb9f99bedb3;Scudéry, Madeleine de (1608-1701);le poème fait allusion à Marie-Adélaïde de Savoie, arrivée en novembre 1696 à la cour de France.;;Fa Majeur, ¢, 30 mesures, forme binaire.;Fa Majeur;binaire;;15 234 322 512;;ut1/bc;;2c05519f-e349-4cc4-8bf1-88de2093e73a;"RASB 1697-02 p. 26 ;";"RASB 1697-02 p. 26 ;";;;;
